ID,Licensing Entity Name,License Name,License Description,ISIC Number,Service Name,Ministry Involved,Service Fees,Service Duration,Conditions/Requirements,Service Description,Additional Information
69,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Obtainment of proof of sound financial disclosure and the absence of a criminal record,"Ministry of Interior
Tel: 920020405
Online platform: https://www.moi.gov.sa/
E-mail:  8004399999@hq.moi.gov.sa

Oversight and Anti-Corruption Authority (Nazaha)
Tel: 980
Online platform: https://www.nazaha.gov.sa/Index
E-mail:  info@nazaha.gov.sa",No data available,No data available,No data available,A legal abstraction that includes the financial rights and obligations belonging to the investor and ensuring that his record is free of criminal precedents.,No data available
70,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Submission of documents,Transport General Authority,Free,Instant,No data available,"Submit all the required documents through the entity's website, after logging in through the unified national access.","This procedure is automated.
This procedure requires creating a new account if it does not exist."
71,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Designation of an engineering office,No data available,Depending on the office,Depending on the office,No data available,Appointment of an approved engineering office to obtain construction and safety plans in accordance with the Saudi code.,This step is illustrative and not mandatory for license issuance.
72,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Site approval,"Ministry of Municipal, Rural Affairs and Housing",Depending on the activity classification + 20 SAR examination fees,Instant,No data available,"Obtaining the approval of the planning authority in the Ministry of Municipal, Rural Affairs and Housing on the site on which the activity shall  be established.","This procedure is automated.
This procedure requires payment."
73,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Issuance of a building permit,"Ministry of Municipal, Rural Affairs and Housing",Depending on the activity classification + 20 SAR examination fees,Instant,"Presence of an electronic instrument updated by the Ministry of Justice, a housing contract or an investment contract.
Presence of a cadastral decision for the purpose of construction.
Presence of insurance against hidden defects if the building requires it.
Contracting a designer from an engineering office.
Hiring a supervisor from an engineering office.
Contracting with a construction contractor.
Payment of service fees.",Obtaining a building license to carry out construction works.,"This procedure is automated.
This procedure requires payment.The engineering office is chosen by the platform ""Baladi"".
Periodic inspections are performed on construction procedures by Ministry of Municipal, Rural Affairs and Housing."
74,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Connecting water and electricity ,"National Water Company
Saudi Electricity Company",Depending on the facility,Undefined,"Preparing the meter installation site according to the company's technical requirements, and removing the cables according to the approved sizes. 
 Implementation of thermal insulation according to the company's requirements. 
Grounding implementation.
","Connecting water and electricity services upon completion of 75% of the construction work, according to the instructions and specified requirements.","This procedure is automated.
This procedure requires payment.Periodic inspections of construction procedures are carried out by the Ministry of Municipal, Rural Affairs and Housing.
The service receipt request by receiving the finishes notice is accepted through the Baladi platform only."
75,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Issuance of an occupancy certificate,"Ministry of Municipal, Rural Affairs and Housing",400 SAR + Survey fees of 20 SAR,Instant,"Presence of a building permit.
Paying service fees.
Contracting with an engineering office.
",Ensuring the application of safety requirements and adherence to security instructions.,"This procedure is automated.
This procedure requires payment."
76,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Field inspection to check the safety of the building,Civil Defense,150 SAR,Undefined,No data available,Ensuring the application of safety requirements and adherence to security instructions.,This procedure requires payment.
77,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Issuance of a commercial activity license and a safety certificate,"Ministry of Municipal, Rural Affairs and Housing
Civil Defense",Depending on the activity classification + 20 SAR examination fees,5 days,"Having a valid commercial register.
Having a permit from the Civil Defense, if there is an office.
Presence of the articles of association of the companies.
Having the title deed or lease contract if there is an office.
Applicant must not be prohibited from practicing the activity.
Applicant must be committed to fulfilling the conditions of the activity.
Applicant must be committed to updating the data in the system.
Applicant must be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the legal proxy.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactions that take place through the beneficiary's account are binding on him.
The attached documents shall match the original copies.","Fulfilling all the procedures, conditions and data necessary to conduct the commercial activity, and inspecting the site that shall be operated in order to be licensed to operate in accordance with safety conditions and requirements.","This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist.."
78,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Field inspection to detect the services provided,Transport General Authority,Free,Included at the time of licensing,No data available,"Visiting specialists to follow up the progress of work and ensure the level of readiness, in order to ensure quality and achieve the required standards.",No data available
79,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,License issuance,Transport General Authority,"150,000 SAR",30 days,"* That the commercial registration of the establishment be valid, and that it includes the activity of transporting parcels (local and international). 
 * That the license applicant adhere to the general specifications and provisions stipulated in the guide issued by the entity 
* To agree to the declaration form related to financial integrity and lack of criminal record.
* The license applicant must agree to inquire about him through the SIMAH system and list system.
* Payment of the financial fee.
 * Submission of an operational plan for the project that includes the following:
- Geographical coverage within the Kingdom of Saudi Arabia.
- The expected number of dispatches internally and externally, and the quarterly expansion plan for a period of two years.
- The rules and regulations of the company that will practice the activity.
- The Memorandum of Association is documented and the percentage of ownership is indicated in it. 
* Providing documents related to the applicant’s international branches, owned by him in 5 countries and 5 different continents, provided that each country has one processing center as a minimum, or submitting a document of the relationship with the international facility licensed in the country of origin, and linked to the guarantee or franchise as an exclusive agent and her experience should not be less than 5 years in this field, and the document indicates the following: - International facility data includes (the name of the facility - the country of origin - the main headquarters).
- A founding contract for the international facility is documented and explained by ownership rates.
- The locations of the international facility in the countries of the world.
- The website of the international establishment.
- The major shipments assembly points outside the Kingdom include (the treatment center - the state - the address - the license issued by the country of origin).
- Executive director and international branches managers and communication information with them.
- The person authorized for the international facility, the data of communication with him and his identity.
- The mechanism of work, the method of delivering, receiving and delivering parcels.","Obtaining the license after verifying the completeness of the documents and fulfilling the necessary conditions. 
","This procedure is automated.
This procedure requires payment."
80,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Endorsement of cadres visas,Ministry of Human Resources and Social Development,Depending on number of visas,14 days,No data available,Submitting an application for cadres visas.,"This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist..
This step is not mandatory for issuing the license, but is required to run the activity."
81,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Issuance of a license to transport goods on the roads,Transport General Authority,Undefined,Undefined,No data available,Carrying out the activity of transporting goods on land roads.,"This procedure is automated.
This step is not mandatory for issuing the license, but is required to run the activity."
82,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Truck registration,"Transport General Authority
General Department of Traffic",Undefined,Undefined,No data available,"Registering trucks with the Traffic Department and the Transport General Authority to organize their traffic, create a new reservation, search for or cancel a previous reservation. 
","This procedure is automated.
This step is not mandatory for issuing the license, but is required to run the activity."
83,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Issuance of air transport license for goods,General Authority of Civil Aviation,"100,000 SAR",105 days,"* Submit a bank account statement.
* Providing a statement of the identity of the main employees.
* Submit a list of branches.
* Provide the list of shares owned or controlled by the applicant in any of the air carrier (foreign air carrier - joint air carrier), or any person who participates in the activities in the field of aviation.
* Providing the company's financial statements for the last 3 years.",Carrying out the activity of transporting goods by air freight.,"This step is not mandatory for issuing the license, but is required to run the activity."
84,Transport General Authority,Licensing of local and international parcels shipping in the absence of an existing building,This service enables the investor to issue a license to provide parcel transportation services inside and outside the Kingdom.,532012,Commencing activity,No data available,No data available,No data available,No data available,Starting to practice the activity after issuing the license.,No data available
85,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuance of an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.				
This procedure requires creating a new account if it does not exist.				
This procedure is automated.				
This procedure requires payment."
86,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of a commercial register,Ministry of Commerce,Depending on the entity classification,Depending on the entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements","This procedure requires creating a new account if it does not exist.				
This procedure is automated.				
This procedure requires payment."
87,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Registeration with government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on the investor type,Depending on the investor type,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after issuing the commercial registration at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative.
88,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of a restricted license,Transport General Authority,Free,One day,No data available,Initial approval to start commercial activity procedures to obtain the final license.,"This procedure requires creating a new account if it does not exist.				
This procedure is automated."
89,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Designation of an engineering office,No data available,Depending on the office,Depending on the office,No data available,Appointment of an approved engineering office to obtain construction and safety plans in accordance with the Saudi code.,"This procedure requires payment.				
This step is illustrative and not mandatory for license issuance.				
The following steps can be skipped in case of renting a building:				
Site endorsement.				
Issuance of a building permit.				
Connecting water and electricity.				
Issuance an occupancy certificate."
90,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Site approval,"Ministry of Municipal, Rural Affairs and Housing",Depending to the activity classification + surbey fees of 20 SAR,Instant,No data available,"Obtaining the approval of the planning authority in the Ministry of Municipal, Rural Affairs and Housing on the site on which the activity is to be established.","This procedure requires creating a new account if it does not exist.				
This procedure is automated.				
This procedure requires payment.				
				
				"
91,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of a building permit,"Ministry of Municipal, Rural Affairs and Housing",Depending to the activity classification + surbey fees of 20 SAR,Instant,"Presence of an updated deed from the Ministry of Justice, a housing contract, or an investment contract.
Presence of a cadastral decision for the purpose of building.
Submission of the municipality license if there is an office.
Hiring a designer from an engineering office.
Hiring a supervisor from an engineering office.
Hiring a building contractor.
Pledging implementing thermal insulation.
Paying service fees.",Obtaining a building permit to carry out construction works.,"This procedure is automated.				
This procedure requires payment.				
The engineering office is chosen by my platform.				
Periodic inspections of construction procedures are carried out by the Ministry of Municipal, Rural Affairs and Housing.				"
92,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Connecting water and electricity,"National Water Company
Saudi Electricity Company",Depending on the facility,Undefined,"Preparing the meter installation site according to the company's technical requirements, including removing the cables according to the approved sizes.
Implementation of thermal insulation according to the company's requirements.
Grounding implementation.","Connecting water and electricity services upon completion of 75% of the construction work, according to the instructions and specified requirements.","This procedure is automated.				
This procedure requires payment.				
Periodic inspections of construction procedures are carried out by the Ministry of Municipal, Rural Affairs and Housing.				
The service receipt request is accepted by receiving the completion notice through the Baladi platform only.				"
93,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of an occupancy certificate,"Ministry of Municipal, Rural Affairs and Housing",400 SAR + Survey fees 20 SAR,Instant,"Contracting with an engineering office.
Paying service fees.
Presence a building permit.",Issuance of a certificate documenting the establishments' compliance with safety requirements and standards.,"This procedure is automated.				
This procedure requires payment."
94,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Field inspection to check the safety of the building,Civil Defense,150 SAR,Undefined,No data available,Ensure the application of safety requirements and adherence to security instructions.,This procedure requires payment.
95,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of a commercial activity license and safety certificate,"Ministry of Municipal, Rural Affairs and Housing
Civil Defense",Depending to the activity classification + surbey fees of 20 SAR,5 days,"Having a valid commercial register.
A permit from the Civil Defense, if there is an office.
Presence of articles of incorporation for companies.
Presence of the title deed or lease contract in the case of an office.
To not be prohibited from practicing the activity.
To be committed to fulfilling the conditions of the activity.
To be committed to updating the data in the system.
To be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the legal agency.
To ensure the validity and accuracy of the data entered, bearing in mind that all transactions that take place through the beneficiary's account are binding on him.
That the attached documents match their originals.","Fulfilling all the procedures, conditions and data necessary to conduct the commercial activity, and inspecting the site to be operated in order to license it to operate in accordance with safety conditions and requirements.","This procedure is automated.				
This procedure requires payment.				
				"
96,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Obtainment of a vehicle approval letter,Transport General Authority,Free,Undefined,No data available,"Obtaining an approval letter from the Transport General Authority after reviewing the technical specifications of the vehicle, and ensuring that it conforms to the required conditions and specifications.",This procedure is automated.
97,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Obtainment of  a vehicle insurance policy,No data available,No data available,No data available,No data available,"A document proving that the insured has insurance for the vehicle, in accordance with the traffic regulations in force in the Kingdom of Saudi Arabia.",This step is illustrative and not mandatory for license issuance.
98,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Vehicle registration in traffic,General Department of Traffic,Undefined,Undefined,No data available,"Vehicle registration in traffic after its examination to issue a certificate of technical examination. A certificate of examination is not required if the vehicles have customs cards, or no more than two years have passed since their first registration in the Kingdom.",This procedure requires payment.
99,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Addition of vehicles to the license ID,Transport General Authority,Free,Instant,No data available,Linking the vehicle registered in the license identity.,This procedure is automated.
100,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Connecting the facility's system with Wasl platform,Transport General Authority,Depending on the company,Depending on the company,No data available,"Equipping vehicles with tracking systems through a qualified company and linking them to Wasl platform, with the aim of organizing and managing transport operations in a safe and effective manner, and linking establishments operating in the sector with regulatory authorities.",A number of companies are being qualified to provide connectivity services with the Wasl platform by the Transport General Authority.
101,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Subscribtion to the Tamm system,General Department of Traffic,Depending on the number of vehicles,14 days,No data available,Facilitating the access of transport facilities to the information base of the General Traffic Department to carry out various traffic transactions.,"This procedure is automated.				
This procedure requires payment."
102,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of a social insurance certificate,The General Organization for Social Insurance,Depending on the number of subscribers,Instant,No data available,Register employers and their workers in the social insurance system.,"This procedure is automated.				
This procedure requires payment."
103,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of a zakat or tax certificate,"The Zakat, Tax and Customs Authority",Depending on dues,Instant,More than one year has passed in the commercial register to obtain the certificate.,"Fill out the application form for obtaining a zakat or tax certificate through the electronic portal of the Zakat, Tax and Customs Authority.","This procedure is automated.				
This procedure requires payment.				
This step is illustrative and not mandatory for license issuance."
104,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,License issuance,Transport General Authority,"10,000 SAR",2 days,"* The license applicant must abide by the regulations specified by the Transport General Authority  and the regulations stipulated in any other bylaw.
* The application must be submitted by the facility through the channels of the Transport General Authority.
* The cars must be new and have not been previously registered inside or outside the Kingdom of Saudi Arabia, and the specifications approved by the President of the General Transport Authority determine the operating age of the taxis.
* That a suitable center be provided in the city in accordance with the requirements of the approved municipality, and the requirements issued by the relevant  authorities.
* That the minimum number of cars necessary to carry out the activity is provided according to the specifications approved by the Chairman of the Transport General Authority, provided that the minimum number is directly owned by the facility, or through financial leasing contracts, provided that the facility is the actual user of the car.
* That 2% of the total number of cars in the facility be provided for persons with mobility disabilities and the elderly, with at least one car that conforms to the specifications approved by the Chairman of the Transport General Authority.
* To be registered in the (Naql) portal.
* Payment of fees",Obtaining the license after verifying the completeness of the documents.,This procedure is automated.
105,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Obtainment of vehicle operating cards,Transport General Authority,Free,Undefined,"* Having a valid driver's license.
* Presence of a valid periodic technical examination certificate.
* Presence of a valid car insurance policy.
* Presentation of the customs card for the facility's car.
* Proof of identification for the individual.
* Proof  proof of the individual's occupation.
* Payment of financial penalties, if any.
* The car must be intended for transporting passengers, according to the required specifications.
* That the individual's car be linked to an authorized steering office, and the facility's car is linked to its automated system dedicated to tracking and steering its cars at the establishment's headquarters, or contracting with one of the steering offices qualified by the Transport General Authority to direct cars on its behalf.
* The establishment's license to practice the activity must be valid.",A digital document that qualifies the vehicle to work in any activity supervised by the Transport General Authority.,"This step is not mandatory for Issuance the license, but is required to run the activity."
106,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Obtainment of drivers cards,Transport General Authority,Free,Undefined,No data available,A digital document that qualifies the driver to work in any activity supervised by the Transport General Authority.,"This step is not mandatory for Issuance the license, but is required to run the activity."
107,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Issuance of cadres visas,Ministry of Human Resources and Social Development,Depending on number  visas,14 days,No data available,Submit an application for cadres visas.,"This procedure requires creating a new account if it does not exist.				
This procedure is automated.				
This procedure requires payment.				
This step is not mandatory to issue the license but is required to run the activity.				"
108,Transport General Authority,Public fare licence,This service enables the investor to issue a license to transport passengers by public taxis for a fee.,492211,Commencing activity,No data available,No data available,No data available,No data available,Starting to practice the activity after Issuance the license.,No data available
109,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum
		",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.				
This procedure requires creating a new account if it does not exist.				
This procedure is automated.				
This procedure requires payment."
110,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Issuance of a commercial register,Ministry of Commerce,Depending on the entity classification,Depending on the entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements","This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
111,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Registeration with government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
General Organization for Social Insurance",Depending on the investor type,Depending on the investor type,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after issuing the commercial registration at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative.
112,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Issuance of a restricted license,Transport General Authority,Free,One day,No data available,Initial approval to start commercial activity procedures and obtain the final license.,"This procedure requires creating a new account if it does not exist.				
This procedure is automated."
113,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Field inspection to check the safety of the building,Civil Defense,150 SAR,Undefined,No data available,Ensure the application of safety requirements and adherence to security instructions.,This procedure requires payment.
114,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Issuance of a commercial activity license and safety certificate,"Ministry of Municipal, Rural Affairs and Housing
Civil Defense",Depending on the activity classification + survey fees of 20 SAR,5 days,"Having a valid commercial register.
A permit from the Civil Defense, if there is an office.
Presence of articles of incorporation for companies.
Presence of the title deed or lease contract in the case of an office.
To not be prohibited from practicing the activity.
To be committed to fulfilling the conditions of the activity.
To be committed to updating the data in the system.
To be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the legal agency.
To ensure the validity and accuracy of the data entered, bearing in mind that all transactions that take place through the beneficiary's account are binding on him.
That the attached documents match their originals.","Fulfilling all the procedures, conditions and data necessary to conduct the commercial activity, and inspecting the site to be operated in order to license it to operate in accordance with safety conditions and requirements.","This procedure is automated.				
This procedure requires payment."
115,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Obtainment of a letter of approval for the buses,Transport General Authority,Free,Undefined,No data available,"Obtaining an approval letter from the Transport General Authority after reviewing the technical specifications of the bus, and ensuring that it conforms to the required conditions and specifications.",This procedure is automated.
116,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Obtainment a vehicle insurance policy,No data available,No data available,No data available,No data available,"A document proving that the insured has insurance for the vehicle, in accordance with the traffic regulations in force in the Kingdom of Saudi Arabia.",This step is illustrative and not mandatory for license issuance.
117,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Bus registration in traffic,General Department of Traffic,Undefined,Undefined,No data available,Bus registration in traffic to obtain ownership papers.,"This procedure requires payment.				
Vehicles are inspected to issue a certificate of technical inspection, and a certificate is not required for inspection if the buses have customs cards, or no more than two years have passed since their first registration in the Kingdom.				"
118,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Addition of buses to the license ID,Transport General Authority,Free,Instant,No data available,Connect the bus registered in the license identity.,This procedure is automated.
119,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Registeration in the Shomoos system,Ministry of Interior,Free - 805 SAR for premium services,Undefined,No data available,"The owner of the facility enters the registration page in the Shomoos system, fills in all his information and data, and after completing the registration, a reference number will be automatically issued that must be saved for review.","This procedure requires creating a new account if it does not exist.				
This procedure is automated."
120,Transport General Authority,A license to transport passengers by buses outside the Kingdom,This service enables the investor to issue a license to transport and deport passengers by buses outside the Kingdom for a fee.,492281,Subscribtion to the Tamm system,General Department of Traffic,Depending on the number of buses,14 days,No data available,Facilitating the access of transport facilities to the information base of the General Traffic Department to carry out various traffic transactions.,"This procedure is automated.				
This procedure requires payment."
